pfam_number	Name	Description	Long_description	enzyme_annotation
PF01955	CbiZ	Adenosylcobinamide amidohydrolase	This prokaryotic protein family includes CbiZ which converts adenosylcobinamide (AdoCbi) to adenosylcobyric acid (AdoCby), an intermediate of the de novo coenzyme B12 biosynthetic route [1].	y
PF01958	DUF108	Domain of unknown function DUF108	This family has no known function.  It is found to compose the complete protein in archaebacteria and a single domain in a large C. elegans protein Swiss:Q19527.	y
PF01959	DHQS	3-dehydroquinate synthase II	This family includes members of 3-dehydroquinate synthase II (EC:1.4.1.24), encoded by aroB genes in M. maripaludis which is widely distributed in methanogens. In M. jannaschii, proteins ADTH synthase (AroA) and DHQ synthase II (AroB) are required to convert 6-deoxy-5-ketofructose-1-phosphate (DKFP) and aspartate semialdehyde to 3-dehydroquinate (DHQ) in vitro [1, 2].	y
PF01960	ArgJ	ArgJ family	Members of the ArgJ family catalyse the first EC:2.3.1.1 and fifth steps EC:2.3.1.35 in arginine biosynthesis. 	y
PF01964	ThiC_Rad_SAM	Radical SAM ThiC family	ThiC is found within the thiamine biosynthesis operon. ThiC is involved in pyrimidine biosynthesis [1].  ThiC participates in the formation of 4-Amino-5-hydroxymethyl-2-methylpyrimidine from AIR, an intermediate in the de novo pyrimidine biosynthesis. Thic is a member of the radical SAM superfamily [3].	y
PF01965	DJ-1_PfpI	DJ-1/PfpI family	The family includes the protease PfpI Swiss:Q51732 [1]. This domain is also found in transcriptional regulators such as Swiss:Q9RJG8.	m
PF01967	MoaC	MoaC family	Members of this family are involved in molybdenum cofactor biosynthesis. However their molecular function is not known.	y
PF01968	Hydantoinase_A	Hydantoinase/oxoprolinase	This family includes the enzymes hydantoinase and oxoprolinase EC:3.5.2.9. Both reactions involve the hydrolysis of 5-membered rings via hydrolysis of their internal imide bonds [1].	y
PF01969	DUF111	Protein of unknown function DUF111	This prokaryotic family has no known function.	u
PF01973	MAF_flag10	Protein of unknown function DUF115	This family of archaebacterial proteins has no known function.	u
PF01974	tRNA_int_endo	tRNA intron endonuclease, catalytic C-terminal domain	Members of this family cleave pre tRNA at the 5' and 3' splice sites to release the intron EC:3.1.27.9.	m
PF01977	UbiD	3-octaprenyl-4-hydroxybenzoate carboxy-lyase	This family has been characterised as 3-octaprenyl-4- hydroxybenzoate carboxy-lyase enzymes [1]. This enzyme catalyses the third reaction in ubiquinone biosynthesis. For optimal activity the carboxy-lase was shown to require Mn2+ [1].	y
PF01979	Amidohydro_1	Amidohydrolase family	This family of enzymes are a a large metal dependent hydrolase superfamily [1]. The family includes Adenine deaminase EC:3.5.4.2 that hydrolyses adenine to form hypoxanthine and ammonia. Adenine deaminases reaction is important for adenine utilisation as a purine and also as a nitrogen source [2]. This family also includes dihydroorotase and N-acetylglucosamine-6-phosphate deacetylases, EC:3.5.1.25 These enzymes catalyse the reaction N-acetyl-D-glucosamine 6-phosphate +  H2O <=> D-glucosamine 6-phosphate + acetate. This family includes the catalytic domain of urease alpha subunit [3]. Dihydroorotases (EC:3.5.2.3) are also included [4-5]. 	y
PF01980	TrmO	tRNA-methyltransferase O	This family includes members such as TrmO (tRNA-methyltransferase O) also known as YaeB, which contains a single-sheeted beta-barrel structure. TrmO is an AdoMet-dependent methyltransferase responsible for m6t6A formation [1]. Its human homolog, is responsible for formation of m6t6A37 in cytoplasmic tRNASer. Lack of TrmO decreases attenuation activity of the thr operon, indicating that N6 methylation of m6t6A37 ensures efficient decoding of ACY codons [2]. In bacteria and eukaryotes, TrmO has a C-terminal domain containing the conserved DPRxxY motif. Where the Asp194 and Arg196 in this motif of E. coli TrmO are necessary for N6-methylation. However, no archaeal YaeB has a C-terminal domain containing the DPRxxY motif that is conserved in bacterial and mammalian TrmO homologs [1].	u
PF01981	PTH2	Peptidyl-tRNA hydrolase PTH2	Peptidyl-tRNA hydrolases are enzymes that release tRNAs from peptidyl-tRNA during translation.	y
PF01982	CTP-dep_RFKase	Domain of unknown function DUF120	This domain is a CTP-dependent riboflavin kinase (RFK), found in archaea, that catalyses the phosphorylation of riboflavin to form flavin mononucleotide in riboflavin biosynthesis EC:2.7.1.26. Its structure resembles a RIFT barrel, structurally similar to but topologically distinct from bacterial and eukaryotic examples. The N-terminal is a winged helix-turn-helix DNA-binding domain, and the C-terminal half is most similar in sequence to a group of cradle-loop barrels. Swiss:O28174 has this domain attached to Pfam:PF00325.	u
PF01983	CofC	Guanylyl transferase CofC like	Coenzyme F420 is a hydride carrier cofactor that functions during methanogenesis.  This family of proteins represents CofC, a nucleotidyl transferase that is involved in coenzyme F420 biosynthesis.  CofC has been shown to catalyse the formation of lactyl-2-diphospho-5'-guanosine from 2-phospho-L-lactate and GTP [1].	y
PF01993	MTD	methylene-5,6,7,8-tetrahydromethanopterin dehydrogenase	This enzyme family is involved in formation of methane from carbon dioxide EC:1.5.99.9. The enzyme requires coenzyme F420 [1].	y
PF01994	Trm56	tRNA ribose 2'-O-methyltransferase, aTrm56	This family is an aTrm56 that catalyses the 2'-O-methylation of the cytidine residue in archaeal tRNA, using S-adenosyl-L-methionine. Biochemical assays showed that aTrm56 forms a dimer and prefers the L-shaped tRNA to the lambda form as its substrate [1] [2].  aTrm56 consists of the SPOUT domain, which contains the characteristic deep trefoil knot for AdoMet binding, and a unique C-terminal beta-hairpin [3].	y
PF01996	F420_ligase	F420-0:Gamma-glutamyl ligase	F420-0:Gamma-glutamyl ligase (EC:6.3.2.-) is an enzyme involved in F420 biosynthesis pathway.  It catalyses the GTP-dependent successive addition of multiple gamma-linked L-glutamates to the L-lactyl phosphodiester of 7,8-didemethyl-8-hydroxy-5-deazariboflavin (F420-0). This reaction produces polyglutamated F420 derivatives.  GTP + F420-0 + n L-glutamate -> GDP + phosphate + F420-n	y
PF02001	DUF134	Protein of unknown function  DUF134	This family of archaeal proteins has no known function.	u
PF02005	TRM	N2,N2-dimethylguanosine tRNA methyltransferase	This enzyme EC:2.1.1.32 used S-AdoMet to methylate tRNA. The TRM1 gene of Saccharomyces cerevisiae is necessary for the N2,N2-dimethylguanosine modification of both mitochondrial and cytoplasmic tRNAs [1]. The enzyme is found in both eukaryotes and archaebacteria [2]	y
PF02006	PPS_PS	Phosphopantothenate/pantothenate synthetase	This family of archaeal proteins includes pantothenate synthetase from Methanosarcina mazei and 4-phosphopantoate--beta-alanine ligase (phosphopantothenate synthetase) from Pyrococcus kodakaraensis. Pantothenate synthetase catalyses the condensation of pantoate with beta-alanine in an ATP-dependent and ADP-producing reaction [1]. 4-phosphopantoate--beta-alanine ligase catalyses the conversion of (R)-4-phosphopantoate and beta-alanine to 4'-phosphopantothenate in the CoA biosynthesis pathway. It cannot use (R)-pantoate as substrate and thus does not display pantothenate synthetase activity [2].	y
PF02007	MtrH	Tetrahydromethanopterin S-methyltransferase MtrH subunit	The enzyme tetrahydromethanopterin S-methyltransferase EC:2.1.1.86 is composed of eight subunits [1]. The enzyme is a membrane- associated enzyme complex which catalyses an energy-conserving, sodium-ion-translocating step in methanogenesis from hydrogen and carbon dioxide [1]. 	y
PF02011	Glyco_hydro_48	Glycosyl hydrolase family 48	Members of this family are endoglucanase EC:3.2.1.4 and exoglucanase EC:3.2.1.91 enzymes that cleave cellulose or related substrate.	s
PF02015	Glyco_hydro_45	Glycosyl hydrolase family 45		s
PF02016	Peptidase_S66	LD-carboxypeptidase N-terminal domain	Muramoyl-tetrapeptide carboxypeptidase hydrolyses a peptide bond between a di-basic amino acid and the C-terminal D-alanine in the tetrapeptide moiety in peptidoglycan. This cleaves the bond between an L- and a D-amino acid. The function of this activity is in  murein recycling. This family also includes the microcin c7 self-immunity protein Swiss:Q47511. This family corresponds to  Merops family S66.	y
PF02027	RolB_RolC	RolB/RolC glucosidase family	This family of proteins includes RolB and RolC.  RolC  releases cytokinins from glucoside conjugates [1]. Whereas RolB hydrolyses indole glucosides [2].	y
PF02046	COX6A	Cytochrome c oxidase subunit VIa		e
PF02056	Glyco_hydro_4	Family 4 glycosyl hydrolase		s
PF02057	Glyco_hydro_59	Glycosyl hydrolase family 59		s
PF02073	Peptidase_M29	Thermophilic metalloprotease (M29)		m
PF02074	Peptidase_M32	Carboxypeptidase Taq (M32) metallopeptidase		m
PF02075	RuvC	Crossover junction endodeoxyribonuclease RuvC	This entry includes endodeoxyribonucleases found in bacteria, such as RuvC. RuvC is a small protein of about 20 kD. It requires and binds a magnesium ion. The structure of E. coli RuvC is a 3-layer alpha-beta sandwich containing a 5-stranded beta-sheet sandwiched between 5 alpha-helices [2]. The Escherichia coli RuvC gene is involved in DNA repair and in the late step of RecE and RecF pathway recombination [1]. RuvC protein (EC:3.1.22.4) cleaves cruciform junctions, which are formed by the extrusion of inverted repeat sequences from a super-coiled plasmid and which are structurally analogous to Holliday junctions, by introducing nicks into strands with the same polarity. The nicks leave a 5'terminal phosphate and a 3'terminal hydroxyl group which are ligated by E. coli or Bacteriophage T4 DNA ligases. Analysis of the cleavage sites suggests that DNA topology rather than a particular sequence determines the cleavage site. RuvC protein also cleaves Holliday junctions that are formed between gapped circular and linear duplex DNA by the function of RecA protein. The active form of RuvC protein is a dimer. This is mechanistically suited for an endonuclease involved in swapping DNA strands at the crossover junctions. It is inferred that RuvC protein is an endonuclease that resolves Holliday structures in vivo [1].	m
PF02086	MethyltransfD12	D12 class N6 adenine-specific DNA methyltransferase		m
PF02089	Palm_thioest	Palmitoyl protein thioesterase		y
PF02091	tRNA-synt_2e	Glycyl-tRNA synthetase alpha subunit		y
PF02092	tRNA_synt_2f	Glycyl-tRNA synthetase beta subunit		y
PF02102	Peptidase_M35	Deuterolysin metalloprotease (M35) family		m
PF02110	HK	Hydroxyethylthiazole kinase family		y
PF02112	PDEase_II	cAMP phosphodiesterases class-II		y
PF02113	Peptidase_S13	D-Ala-D-Ala carboxypeptidase 3 (S13) family		m
PF02122	Peptidase_S39	Peptidase S39	This family contains polyprotein processing endopeptidases from RNA viruses.	m
PF02123	RdRP_4	Viral RNA-directed RNA-polymerase	This family includes RNA-dependent RNA polymerase proteins  (RdRPs) from Luteovirus, Totivirus and Rotavirus.	m
PF02126	PTE	Phosphotriesterase family		y
PF02127	Peptidase_M18	Aminopeptidase I zinc metalloprotease (M18)		m
